"cancer","n","eigengap_C","C2_p","C3_p","C4_p","note"
"ACC",177,2,0.00188261980672677,0.011924744642214,0.0253663942360342,""
"KIRP",273,2,0.966421875924661,0.606866894940235,0.917301482222042,""
"KIRC",314,3,0.00169462781126717,0.0119607322310239,0.0252569681455987,""
"LIHC",364,2,0.572099710520195,0.582064354565904,0.714547420538631,""
